COUNTRY,CODE_TIME,TIME,YEAR,MONTH,MONTH_NAME,PRODUCT,VALUE,DISPLAY_ORDER,yearToDate,previousYearToDate,share,Continent
Chile,OCT2014,October 2014,2014,10,October,Wind,159.815,2,1441.001,448.921,0.0272203912351072,South America
Chile,OCT2014,October 2014,2014,10,October,Solar,53.955,3,479.999,5.336,0.0091898520732735,South America
Colombia,OCT2014,October 2014,2014,10,October,Hydro,4072.668,1,47249.092,,0.6883564804251154,South America
Colombia,OCT2014,October 2014,2014,10,October,Wind,3.704,2,69.482,,0.0006260447459735,South America
Colombia,OCT2014,October 2014,2014,10,October,Solar,0.688,3,8.947,,0.0001162847692305,South America
Chile,NOV2014,November 2014,2014,11,November,Hydro,2450.973,1,22814.0,17591.702,0.4271402427877246,South America
Chile,NOV2014,November 2014,2014,11,November,Wind,203.223,2,1441.001,510.201,0.0354164332124628,South America
Chile,NOV2014,November 2014,2014,11,November,Solar,59.351,3,479.999,6.678,0.0103433210197314,South America
Colombia,NOV2014,November 2014,2014,11,November,Hydro,4197.121,1,47249.092,,0.7192544714763073,South America
Colombia,NOV2014,November 2014,2014,11,November,Wind,3.711,2,69.482,,0.0006359486285119,South America
Colombia,NOV2014,November 2014,2014,11,November,Solar,0.648,3,8.947,,0.000111046809829,South America
Chile,DEC2014,December 2014,2014,12,December,Hydro,2336.573,1,22814.0,19678.001,0.3930860403383008,South America
Chile,DEC2014,December 2014,2014,12,December,Wind,195.393,2,1441.001,553.0,0.0328713293699026,South America
Chile,DEC2014,December 2014,2014,12,December,Solar,89.531,3,479.999,8.0,0.0150619673673916,South America
Colombia,DEC2014,December 2014,2014,12,December,Hydro,4180.456,1,47249.092,,0.7028532730223227,South America
Colombia,DEC2014,December 2014,2014,12,December,Wind,5.174,2,69.482,,0.0008698962109916,South America
Colombia,DEC2014,December 2014,2014,12,December,Solar,0.878,3,8.947,,0.0001476167130364,South America
Argentina,JAN2015,January 2015,2015,1,January,Hydro,2519.945,1,31843.542,,0.2098718895703304,South America
Argentina,JAN2015,January 2015,2015,1,January,Wind,51.294,2,588.61,,0.004271985580487,South America
Argentina,JAN2015,January 2015,2015,1,January,Solar,1.511,3,14.912,,0.0001258425978109,South America
Argentina,JAN2015,January 2015,2015,1,January,Geothermal,0.0,4,0.0,,0.0,South America
Brazil,JAN2015,January 2015,2015,1,January,Hydro,34343.374,1,355076.9,,0.681044549105151,South America
Brazil,JAN2015,January 2015,2015,1,January,Wind,1543.12,2,21465.9,,0.0306007634723117,South America
Brazil,JAN2015,January 2015,2015,1,January,Solar,2.613,3,58.652,,5.181696494968023e-05,South America
Brazil,JAN2015,January 2015,2015,1,January,Geothermal,0.0,4,0.0,,0.0,South America
Chile,JAN2015,January 2015,2015,1,January,Hydro,1935.863,1,23403.001,1859.865,0.3112100787758032,South America
Chile,JAN2015,January 2015,2015,1,January,Wind,119.982,2,2111.999,68.522,0.0192883523636116,South America
Chile,JAN2015,January 2015,2015,1,January,Solar,92.918,3,1238.001,5.528,0.0149375333376845,South America
Colombia,JAN2015,January 2015,2015,1,January,Hydro,3931.459,1,47938.041,3903.977,0.6353266298120049,South America
Colombia,JAN2015,January 2015,2015,1,January,Wind,5.562,2,67.497,5.648,0.0008988232396711,South America
Colombia,JAN2015,January 2015,2015,1,January,Solar,1.065,3,8.947,1.065,0.0001721047735076,South America
Argentina,FEB2015,February 2015,2015,2,February,Hydro,2032.279,1,31843.542,,0.1801150663826107,South America
Argentina,FEB2015,February 2015,2015,2,February,Wind,42.504,2,588.61,,0.0037670077688774,South America
Argentina,FEB2015,February 2015,2015,2,February,Solar,1.262,3,14.912,,0.000111847445048,South America
Argentina,FEB2015,February 2015,2015,2,February,Geothermal,0.0,4,0.0,,0.0,South America
Brazil,FEB2015,February 2015,2015,2,February,Hydro,30085.636,1,355076.9,,0.6758733414298634,South America
Brazil,FEB2015,February 2015,2015,2,February,Wind,1162.752,2,21465.9,,0.0261212054647691,South America
Brazil,FEB2015,February 2015,2015,2,February,Solar,2.475,3,58.652,,5.560083622759087e-05,South America
Brazil,FEB2015,February 2015,2015,2,February,Geothermal,0.0,4,0.0,,0.0,South America
Chile,FEB2015,February 2015,2015,2,February,Hydro,1414.566,1,23403.001,3241.248,0.2477068702397014,South America
Chile,FEB2015,February 2015,2015,2,February,Wind,118.868,2,2111.999,150.291,0.02081516186,South America
Chile,FEB2015,February 2015,2015,2,February,Solar,94.74,3,1238.001,25.157,0.0165900699483158,South America
Colombia,FEB2015,February 2015,2015,2,February,Hydro,4082.267,1,47938.041,7502.237,0.6877020898239887,South America
Colombia,FEB2015,February 2015,2015,2,February,Wind,4.848,2,67.497,11.063,0.000816698107073,South America
Colombia,FEB2015,February 2015,2015,2,February,Solar,0.831,3,8.947,1.896,0.0001399909502841,South America
Argentina,MAR2015,March 2015,2015,3,March,Hydro,2142.899,1,31843.542,,0.1725653985639272,South America
Argentina,MAR2015,March 2015,2015,3,March,Wind,41.142,2,588.61,,0.0033131219099533,South America
Argentina,MAR2015,March 2015,2015,3,March,Solar,1.313,3,14.912,,0.0001057345065327,South America
Argentina,MAR2015,March 2015,2015,3,March,Geothermal,0.0,4,0.0,,0.0,South America
Brazil,MAR2015,March 2015,2015,3,March,Hydro,32357.821,1,355076.9,,0.6705737818541665,South America
Brazil,MAR2015,March 2015,2015,3,March,Wind,1115.355,2,21465.9,,0.0231142826477701,South America
Brazil,MAR2015,March 2015,2015,3,March,Solar,3.151,3,58.652,,6.530037936183894e-05,South America
Brazil,MAR2015,March 2015,2015,3,March,Geothermal,0.0,4,0.0,,0.0,South America
Chile,MAR2015,March 2015,2015,3,March,Hydro,1460.427,1,23403.001,4622.84,0.241696791320922,South America
Chile,MAR2015,March 2015,2015,3,March,Wind,140.927,2,2111.999,225.528,0.0233230443633838,South America
Chile,MAR2015,March 2015,2015,3,March,Solar,80.165,3,1238.001,59.537,0.0132670946759007,South America
Colombia,MAR2015,March 2015,2015,3,March,Hydro,4317.805,1,47938.041,11708.15,0.6655651000003546,South America
Colombia,MAR2015,March 2015,2015,3,March,Wind,6.381,2,67.497,17.252,0.0009835948828403,South America
Colombia,MAR2015,March 2015,2015,3,March,Solar,0.665,3,8.947,2.561,0.0001025059703947,South America
Argentina,APR2015,April 2015,2015,4,April,Hydro,1890.171,1,31843.542,,0.1718863088572095,South America
Argentina,APR2015,April 2015,2015,4,April,Wind,44.253,2,588.61,,0.0040242310488617,South America
Argentina,APR2015,April 2015,2015,4,April,Solar,1.192,3,14.912,,0.0001083967959289,South America
Argentina,APR2015,April 2015,2015,4,April,Geothermal,0.0,4,0.0,,0.0,South America
Brazil,APR2015,April 2015,2015,4,April,Hydro,29569.51,1,355076.9,,0.6461202979684368,South America
Brazil,APR2015,April 2015,2015,4,April,Wind,993.798,2,21465.9,,0.0217153770853976,South America
Brazil,APR2015,April 2015,2015,4,April,Solar,3.248,3,58.652,,7.097171132702176e-05,South America
Brazil,APR2015,April 2015,2015,4,April,Geothermal,0.0,4,0.0,,0.0,South America
Chile,APR2015,April 2015,2015,4,April,Hydro,1338.819,1,23403.001,6015.661,0.2324033915693342,South America
Chile,APR2015,April 2015,2015,4,April,Wind,127.708,2,2111.999,304.005,0.02216862199486,South America
Chile,APR2015,April 2015,2015,4,April,Solar,85.631,3,1238.001,91.955,0.0148645446647184,South America
Colombia,APR2015,April 2015,2015,4,April,Hydro,4352.938,1,47938.041,15323.155,0.7044976332717947,South America
Colombia,APR2015,April 2015,2015,4,April,Wind,6.174,2,67.497,23.946,0.0009992258993397,South America
Colombia,APR2015,April 2015,2015,4,April,Solar,0.56,3,8.947,3.121,9.06327346339886e-05,South America
Argentina,MAY2015,May 2015,2015,5,May,Hydro,1827.25,1,31843.542,,0.1578080549687622,South America
Argentina,MAY2015,May 2015,2015,5,May,Wind,47.972,2,588.61,,0.0041430390001157,South America
Argentina,MAY2015,May 2015,2015,5,May,Solar,1.123,3,14.912,,9.698642535499796e-05,South America
Argentina,MAY2015,May 2015,2015,5,May,Geothermal,0.0,4,0.0,,0.0,South America
Brazil,MAY2015,May 2015,2015,5,May,Hydro,28657.953,1,355076.9,,0.6156391725545038,South America
Brazil,MAY2015,May 2015,2015,5,May,Wind,1572.217,2,21465.9,,0.033774860784932,South America
Brazil,MAY2015,May 2015,2015,5,May,Solar,2.699,3,58.652,,5.798076808642284e-05,South America
Brazil,MAY2015,May 2015,2015,5,May,Geothermal,0.0,4,0.0,,0.0,South America
Chile,MAY2015,May 2015,2015,5,May,Hydro,1294.58,1,23403.001,7626.996,0.2137386229809387,South America
Chile,MAY2015,May 2015,2015,5,May,Wind,179.039,2,2111.999,375.958,0.0295598181030792,South America
Chile,MAY2015,May 2015,2015,5,May,Solar,86.542,3,1238.001,122.029,0.0142883158321744,South America
Colombia,MAY2015,May 2015,2015,5,May,Hydro,4206.67,1,47938.041,18956.113,0.6517793562325654,South America
Colombia,MAY2015,May 2015,2015,5,May,Wind,6.296,2,67.497,30.157,0.0009754991066188,South America
Colombia,MAY2015,May 2015,2015,5,May,Solar,0.67,3,8.947,3.791,0.0001038094665556,South America
Argentina,JUN2015,June 2015,2015,6,June,Hydro,2736.168,1,31843.542,,0.2271959054106007,South America
Argentina,JUN2015,June 2015,2015,6,June,Wind,55.032,2,588.61,,0.0045695458270677,South America
Argentina,JUN2015,June 2015,2015,6,June,Solar,0.975,3,14.912,,8.09584819994005e-05,South America
Argentina,JUN2015,June 2015,2015,6,June,Geothermal,0.0,4,0.0,,0.0,South America
Brazil,JUN2015,June 2015,2015,6,June,Hydro,26147.814,1,355076.9,,0.5801712098572828,South America
Brazil,JUN2015,June 2015,2015,6,June,Wind,1660.848,2,21465.9,,0.0368511185504474,South America
Brazil,JUN2015,June 2015,2015,6,June,Solar,2.834,3,58.652,,6.288117273342772e-05,South America
